longitude,latitude,dist,latlon
121.464609,31.185062,徐汇,"121.464609,31.185062"
121.4131898,31.07290379,闵行,"121.4131898,31.07290379"
121.542774,31.136789,浦东,"121.542774,31.136789"
121.199536,31.045804,松江,"121.199536,31.045804"
121.49476366986,31.332895753598,宝山,"121.49476366986,31.332895753598"
121.3940078,31.06957939,闵行,"121.3940078,31.06957939"
121.474746,31.216283,黄浦,"121.474746,31.216283"
121.235215,31.128639,青浦,"121.235215,31.128639"
121.552138,31.237232,浦东,"121.552138,31.237232"
121.560758,31.240721,浦东,"121.560758,31.240721"
121.554268,31.239542,浦东,"121.554268,31.239542"
121.446148,31.196172,徐汇,"121.446148,31.196172"
121.772467,31.039632,浦东,"121.772467,31.039632"
121.296773,31.206383,闵行,"121.296773,31.206383"
121.5768101,31.12483208,浦东,"121.5768101,31.12483208"
121.5085575,31.14993417,浦东,"121.5085575,31.14993417"
121.592796,31.320603,浦东,"121.592796,31.320603"
121.540794,31.060615,闵行,"121.540794,31.060615"
121.22282,31.022281,松江,"121.22282,31.022281"
121.3126498,31.31632075,嘉定,"121.3126498,31.31632075"
121.444035,31.179585,徐汇,"121.444035,31.179585"
121.517268,31.270396,杨浦,"121.517268,31.270396"
121.371847,31.111674,闵行,"121.371847,31.111674"
121.629006,31.212499,浦东,"121.629006,31.212499"
121.4191609,31.14417728,闵行,"121.4191609,31.14417728"
121.408136,31.225357,长宁,"121.408136,31.225357"
121.539738,31.211494,浦东,"121.539738,31.211494"
121.555083,31.293867,杨浦,"121.555083,31.293867"
121.6202649,31.30720078,浦东,"121.6202649,31.30720078"
121.43749,31.263028,普陀,"121.43749,31.263028"
121.805718,31.063549,浦东,"121.805718,31.063549"
121.519482,30.855875,奉贤,"121.519482,30.855875"
121.505481,31.164854,浦东,"121.505481,31.164854"
121.492301,31.175519,浦东,"121.492301,31.175519"
121.4653619,31.26289062,闸北,"121.4653619,31.26289062"
121.376942,31.19266,闵行,"121.376942,31.19266"
121.4077267,31.08666845,闵行,"121.4077267,31.08666845"
121.483832,31.223985,黄浦,"121.483832,31.223985"
121.387108,31.121603,闵行,"121.387108,31.121603"
121.45196,31.242423,静安,"121.45196,31.242423"
121.436447,31.237743,静安,"121.436447,31.237743"
121.437566,31.217612,长宁,"121.437566,31.217612"
121.593818,31.09219261,浦东,"121.593818,31.09219261"
121.493344,31.344753,宝山,"121.493344,31.344753"
121.408606,31.297034,宝山,"121.408606,31.297034"
121.391801,31.191313,闵行,"121.391801,31.191313"
121.5308952,31.24732765,浦东,"121.5308952,31.24732765"
121.3255282,31.31370036,嘉定,"121.3255282,31.31370036"
121.36513,31.41227491,宝山,"121.36513,31.41227491"
121.097011,31.177281,青浦,"121.097011,31.177281"
121.365817,31.25847592,嘉定,"121.365817,31.25847592"
121.5055354,31.14453223,浦东,"121.5055354,31.14453223"
121.271468,31.116716,松江,"121.271468,31.116716"
121.314987,31.012855,松江,"121.314987,31.012855"
121.366634,31.349501,宝山,"121.366634,31.349501"
121.5658499,31.19766118,浦东,"121.5658499,31.19766118"
121.518192,31.168272,浦东,"121.518192,31.168272"
121.266398,31.110797,松江,"121.266398,31.110797"
121.406753,31.243347,普陀,"121.406753,31.243347"
121.437948,31.214745,长宁,"121.437948,31.214745"
121.519482,30.855875,奉贤,"121.519482,30.855875"
121.500276,31.284224,虹口,"121.500276,31.284224"
121.436723,31.192902,徐汇,"121.436723,31.192902"
121.596204,31.10383774,浦东,"121.596204,31.10383774"
121.424815,31.162146,徐汇,"121.424815,31.162146"
